Trial     # of Hands     # of Pairs   # of Flushes      Pair %        Flush %
1          10000           4980             13          49.80           0.13
2          10000           4893             20          48.93           0.20
3          10000           4956             15          49.56           0.15
4          10000           4849             13          48.49           0.13
5          10000           4949             14          49.49           0.14
6          10000           4983             22          49.83           0.22
7          10000           4941             21          49.41           0.21
8          10000           4945             24          49.45           0.24
9          10000           4915             17          49.15           0.17
10          10000           4950             18          49.50           0.18
